id,question,category,source
1,"What's your earliest vivid memory, and why do you think it stuck with you?",personal_history,database_export
2,Describe a childhood tradition that was special to your family.,personal_history,database_export
3,"What did you want to be when you grew up, and how has that changed?",personal_history,database_export
4,Tell me about a teacher who had a significant impact on you.,personal_history,database_export
5,What was your favorite hiding spot as a child?,personal_history,database_export
6,Describe the house or place where you felt most at home growing up.,personal_history,database_export
7,What childhood fear did you have that seems silly now?,personal_history,database_export
8,What's a lesson you learned the hard way as a kid?,personal_history,database_export
9,Describe your relationship with your siblings or lack thereof.,personal_history,database_export
10,What was your favorite family vacation or trip?,personal_history,database_export
11,Describe a moment when you realized you had grown up.,personal_history,database_export
12,"What's the biggest risk you've ever taken, and how did it turn out?",personal_history,database_export
13,Tell me about a time when you were completely wrong about someone.,personal_history,database_export
14,What's a mistake you made that you're actually grateful for?,personal_history,database_export
15,Describe a moment when you felt truly proud of yourself.,personal_history,database_export
16,What's the hardest decision you've ever had to make?,personal_history,database_export
17,Tell me about a time when you stood up for something you believed in.,personal_history,database_export
18,What's an experience that completely changed your perspective?,personal_history,database_export
19,Describe a moment when you felt like giving up but didn't.,personal_history,database_export
20,What's the most important thing someone has ever said to you?,personal_history,database_export
21,What do you believe is the purpose of human existence?,philosophy_values,database_export
22,"How do you define success, and has that definition changed over time?",philosophy_values,database_export
23,What role does spirituality or religion play in your life?,philosophy_values,database_export
24,What do you think happens after we die?,philosophy_values,database_export
25,Is it more important to be liked or respected? Why?,philosophy_values,database_export
26,Do you believe people are fundamentally good or bad?,philosophy_values,database_export
27,What's your philosophy on forgiveness?,philosophy_values,database_export
28,How do you determine what's right and wrong?,philosophy_values,database_export
29,What do you think is humanity's greatest strength and weakness?,philosophy_values,database_export
30,"If you could only pass down one piece of wisdom, what would it be?",philosophy_values,database_export
31,Is it ever okay to lie? Under what circumstances?,philosophy_values,database_export
32,How do you handle moral dilemmas where there's no clear right answer?,philosophy_values,database_export
33,What's more important: individual freedom or collective good?,philosophy_values,database_export
34,Do you believe in karma or that the universe is inherently fair?,philosophy_values,database_export
35,How do you deal with people whose values fundamentally oppose yours?,philosophy_values,database_export
36,What's a moral stance you've changed your mind about?,philosophy_values,database_export
37,Is it possible to separate the art from the artist?,philosophy_values,database_export
38,How do you balance being true to yourself with fitting into society?,philosophy_values,database_export
39,What responsibility do wealthy people have to help others?,philosophy_values,database_export
40,Should we judge historical figures by today's moral standards?,philosophy_values,database_export
41,Describe your ideal morning routine.,daily_life,database_export
42,What's a daily habit you have that others might find odd?,daily_life,database_export
43,How do you typically spend your Sunday afternoons?,daily_life,database_export
44,What's your go-to comfort food and when do you eat it?,daily_life,database_export
45,Describe your workspace and why you've set it up that way.,daily_life,database_export
46,What's your bedtime routine like?,daily_life,database_export
47,How do you prefer to exercise or stay active?,daily_life,database_export
48,What's your typical approach to grocery shopping?,daily_life,database_export
49,How do you organize your living space?,daily_life,database_export
50,What's a small daily ritual that brings you joy?,daily_life,database_export
51,How do you make decisions when you're feeling overwhelmed?,daily_life,database_export
52,What's your process for choosing what to wear each day?,daily_life,database_export
53,How do you decide what to watch on TV or streaming services?,daily_life,database_export
54,What factors do you consider when choosing where to eat?,daily_life,database_export
55,How do you prioritize your tasks when everything feels urgent?,daily_life,database_export
56,What's your approach to spending money on non-essentials?,daily_life,database_export
57,How do you choose which social events or invitations to accept?,daily_life,database_export
58,What's your strategy for dealing with interruptions?,daily_life,database_export
59,How do you decide when to help others versus focusing on yourself?,daily_life,database_export
60,What's your approach to trying new things?,daily_life,database_export
61,What motivates you most in your work?,career,database_export
62,Describe your ideal work environment.,career,database_export
63,How do you handle workplace conflict?,career,database_export
64,What's the best career advice you've ever received?,career,database_export
65,How do you balance ambition with contentment?,professional,database_export
67,How do you handle feedback and criticism at work?,professional,database_export
68,What skills do you think will be most important in the future?,professional,database_export
70,What's your philosophy on work-life balance?,professional,database_export
71,"What's your leadership style, and how has it evolved?",professional,database_export
72,How do you motivate team members who are struggling?,career,database_export
74,How do you make difficult decisions that affect others?,career,database_export
75,What's your approach to giving constructive feedback?,professional,database_export
76,How do you handle disagreements with your boss or authority figures?,professional,database_export
77,What qualities do you look for when hiring someone?,professional,database_export
79,What's your strategy for managing up?,career,database_export
81,How do you maintain long-distance friendships?,relationships,database_export
88,What's the most important thing you've learned about friendship?,relationships,database_export
89,How do you handle jealousy in relationships?,relationships,database_export
90,What role do you typically play in your friend group?,relationships,database_export
91,What does love mean to you?,relationships,database_export
92,How do you handle disagreements in romantic relationships?,relationships,database_export
93,What's your approach to compromise in partnerships?,relationships,database_export
94,How do you maintain your individuality while in a relationship?,relationships,database_export
95,What are your non-negotiables in a romantic partner?,relationships,database_export
96,"How do you show affection, and how do you like to receive it?",relationships,database_export
98,How do you handle attraction to others while in a relationship?,relationships,database_export
100,How do you know when a relationship isn't working?,relationships,database_export
101,What form of creative expression speaks to you most?,hobbies,database_export
105,"If you could master any artistic skill, what would it be?",creative_expression,database_export
106,How do you express yourself when words aren't enough?,hobbies,database_export
107,What's a creative project you've always wanted to try?,hobbies,database_export
111,"How do you prefer to tell stories - verbally, in writing, or through other means?",hobbies,database_export
113,How do you adapt your communication style for different audiences?,hobbies,database_export
114,What's your approach to difficult conversations?,creative_expression,database_export
119,How do you express disagreement respectfully?,hobbies,database_export
121,"If you could save five lives by sacrificing one, would you do it?",hypotheticals,database_export
122,"Would you rather be feared or loved, and why?",hypotheticals,database_export
123,"If you found a wallet with $500 and no ID, what would you do?",hypotheticals,database_export
124,Would you take a job you hate for twice your current salary?,hypotheticals,database_export
125,"If you could know the date of your death, would you want to?",hypotheticals,database_export
126,Would you report a friend for doing something illegal but harmless?,hypotheticals,database_export
127,"If you could eliminate one human emotion, which would it be?",hypotheticals,database_export
128,Would you rather live in a world without music or without books?,hypotheticals,database_export
129,"If everyone's thoughts were public, how would the world change?",hypotheticals,database_export
130,Would you sacrifice your happiness for your family's wellbeing?,hypotheticals,database_export
131,"If you could live in any time period, when would you choose?",hypotheticals,database_export
132,What superpower would you choose and how would you use it?,hypotheticals,database_export
133,"If you could have dinner with any three people, living or dead, who would they be?",hypotheticals,database_export
134,What would you do if money was no object?,hypotheticals,database_export
135,"If you could change one thing about the world, what would it be?",hypotheticals,database_export
136,How do you think technology will change human relationships in 50 years?,hypotheticals,database_export
137,"If you could master any skill instantly, what would it be?",hypotheticals,database_export
138,What do you think your life would be like if you'd made one different major decision?,hypotheticals,database_export
139,"If you had to choose one sense to lose, which would it be?",hypotheticals,database_export
140,What legacy do you want to leave behind?,hypotheticals,database_export
141,How has your cultural background shaped who you are?,personal_history,database_export
142,What traditions from your family do you want to continue or change?,personal_history,database_export
143,How do you navigate between different cultural expectations?,personal_history,database_export
144,What aspects of your identity are most important to you?,personal_history,database_export
145,How do you handle situations where you feel like an outsider?,personal_history,database_export
146,What cultural foods or customs make you feel most at home?,personal_history,database_export
147,How has your sense of identity evolved over time?,personal_history,database_export
148,What stereotypes about your background frustrate you most?,personal_history,database_export
149,How do you celebrate your heritage?,personal_history,database_export
150,What's something about your culture you wish others understood better?,personal_history,database_export
151,How has technology changed the way you live your daily life?,daily_life,database_export
152,What's your relationship with social media?,daily_life,database_export
153,How do you manage information overload in the digital age?,daily_life,database_export
154,What's your approach to digital privacy?,daily_life,database_export
155,How do you disconnect from technology when you need to?,daily_life,database_export
